id,company,fromDestination,toDestination,fromStation,fromStationLatitude,fromStationLongitude,toStation,status,toStationLatitude,toStationLongitude,duration,departure_time,arrival_time,toStop1VehicleType,toStop1Duration,stop1Station,toStop2VehicleType,toStop2Duration,stop2Station,toStop3VehicleType,toStop3Duration,weekly_schedule_mask,default_price,hotel_pickup_toggle,hotel_pickup_price,default_max_capacity
711,Songserm,Koh Samui,Koh Phangan,Nathon Pier (Songserm),9.535567,99.934549,Thong Sala Pier (Songserm),available,9.710947,99.982474,45,11:30:00,12:15:00,Ferry,45,,,,,,,1|1|1|1|1|1|1,200,FALSE,200,999
712,Songserm,Koh Samui,Koh Tao,Nathon Pier (Songserm),9.535567,99.934549,Mae Haad Pier (Songserm),available,10.084205,99.824123,180,11:30:00,14:30:00,Ferry,45,Thong Sala Pier (Songserm),Ferry,135,,,,1|1|1|1|1|1|1,500,FALSE,200,999
5171,Songserm,Koh Phangan,Koh Tao,Thong Sala Pier (Songserm),9.710947,99.982474,Mae Haad Pier (Songserm),available,10.084205,99.824123,105,12:45:00,14:30:00,Ferry,105,,,,,,,1|1|1|1|1|1|1,350,FALSE,0,999
5393,Songserm,Donsak,Koh Samui,Donsak Pier (Songserm),9.337431,99.681091,Nathon Pier (Songserm),available,9.535567,99.934549,80,10:00:00,11:20:00,Ferry,80,,,,,,,1|1|1|1|1|1|1,200,FALSE,0,999
5395,Songserm,Donsak,Koh Phangan,Donsak Pier (Songserm),9.337431,99.681091,Thong Sala Pier (Songserm),available,9.710947,99.982474,135,10:00:00,12:15:00,Ferry,135,,,,,,,1|1|1|1|1|1|1,320,FALSE,0,999
5397,Songserm,Donsak,Koh Tao,Donsak Pier (Songserm),9.337431,99.681091,Mae Haad Pier (Songserm),available,10.084205,99.824123,270,10:00:00,14:30:00,Ferry,270,,,,,,,1|1|1|1|1|1|1,625,FALSE,0,999
