productNo,kohRouteId,ref,productName,time,arrivalTime,hourReserve,duration,map,photo,priceAdult,priceChild,sellingPriceAdult,sellingPriceChild,provinceId,province,provinceToId,provinceTo,areaId,area,areaToId,areaTo,destinationId,destination,destinationToId,destinationTo
C600,6193,USMSOK0006,Koh Samui 13:30 - Khao Sok Any Hotel 19:30,13:30,19:30,6,6:0 hrs.,https://goo.gl/maps/4hBbEZ14M4N2,,550,450,650,550,11,Suratthani,11,Suratthani,50,Koh Samui,47,City,87,Nathon Pier,65,Khao Sok
C601,6182,USMCPN0002,Koh Samui Any Hotel 09:30 - Chumphon Pier 18:00,09:30,18:00,18,8:30 hrs.,"9.5355552,99.93455449999999",,850,500,1050,600,11,Suratthani,3,Chumphon,50,Koh Samui,71,Pier,0,,9,Matthaphon
C602,6183,USMCPN0003,Koh Samui Any Hotel 09:30 - Chumphon Train 18:30,09:30,18:30,18,9:0 hrs.,"9.5355552,99.93455449999999",,850,500,1050,600,11,Suratthani,3,Chumphon,50,Koh Samui,9,City,0,,15,Chumporn Train
C603,6184,USMSOK0007,Koh Samui Any Hotel 06:30 - Khao Sok Any Hotel 14:30,06:30,14:30,18,8:0 hrs.,"9.5355552,99.93455449999999",,650,550,800,650,11,Suratthani,11,Suratthani,50,Koh Samui,47,City,0,,65,Khao Sok
C604,6185,USMSOK0008,Koh Samui Any Hotel 11:30 - Khao Sok Any Hotel 19:30,11:30,19:30,18,8:0 hrs.,"9.5355552,99.93455449999999",,650,550,800,650,11,Suratthani,11,Suratthani,50,Koh Samui,47,City,0,,65,Khao Sok
C605,6186,USMHKT0003,Koh Samui Any Hotel 06:30 - Phuket 17:00,06:30,17:00,18,10:30 hrs.,"9.5355552,99.93455449999999",,550,450,750,550,11,Suratthani,6,Phuket,50,Koh Samui,40,Pier,0,,58,Rassada
C606,6187,USMHKT0004,Koh Samui Any Hotel 11:30 - Phuket 22:30,11:30,22:30,18,11:0 hrs.,"9.5355552,99.93455449999999",,550,450,750,550,11,Suratthani,6,Phuket,50,Koh Samui,40,Pier,0,,58,Rassada
C628,6194,KBVUSMANYHTL0001,Krabi (Andamanwave) 07:00 - Koh Samui Any Hotel 12:30,07:00,12:30,13,5:30 hrs.,"8.080930599999999, 98.89891539999996",https://img.adv-tour.com/photo/package/304023.jpg,700,600,850,700,4,Krabi,11,Suratthani,14,City,50,Koh Samui,31,Andaman wave krabi,0,
C629,6195,KBVUSMANYHTL0002,Krabi (Andamanwave) 12:30 - Koh Samui Any Hotel 19:00,12:30,19:00,17,6:30 hrs.,"8.080930599999999, 98.89891539999996",,700,600,850,700,4,Krabi,11,Suratthani,14,City,50,Koh Samui,31,Andaman wave krabi,0,
C631,6196,URTANYUSMANY0001,Suratthani Town 07:00 - Koh Samui Any Hotel 12.30,07:00,12:30,14,5:30 hrs.,,https://img.adv-tour.com/photo/package/237524.jpg,400,350,500,400,11,Suratthani,11,Suratthani,47,City,50,Koh Samui,105,Suratthani town,0,
C645,6197,URTANYUSMANY0002,Suratthani Town 13:00 - Koh Samui Any Hotel 19:00,13:00,19:00,16,6:0 hrs.,,,400,300,500,400,11,Suratthani,11,Suratthani,47,City,50,Koh Samui,105,Suratthani town,0,
C649,6198,DONANY002,Donsak Pier 16:30 - Koh Samui(Any Hotel) 19:00,16:30,19:00,16,2:30 hrs.,"9.337521, 99.681587",,250,230,350,250,11,Suratthani,11,Suratthani,46,Pier,50,Koh Samui,62,Donsak Pier,0,
