"priority","url"
"1.0","https://www.bookaway.com/routes/vietnam/nha-trang-to-ho-chi-minh-saigon"
"0.8","https://www.bookaway.com/routes/vietnam/nha-trang-to-ho-chi-minh-saigon/local-sleeping-bus-by-vietnam-transports-2"
"0.5","https://www.bookaway.com/s/vietnam/ho-chi-minh-saigon-to-nha-trang"
"1.0","https://www.bookaway.com/routes/vietnam/ho-chi-minh-saigon-to-nha-trang"
"0.8","https://www.bookaway.com/routes/vietnam/ho-chi-minh-saigon-to-nha-trang/local-sleeping-bus-by-vietnam-transports-2"
"1.0","https://www.bookaway.com/suppliers/vietnam-transports"
"0.5","https://www.bookaway.com/s/croatia/split-to-hvar"
"1.0","https://www.bookaway.com/routes/croatia/split-to-hvar"
"0.8","https://www.bookaway.com/routes/croatia/split-to-hvar/high-speed-ferry-by-krilo"
"0.5","https://www.bookaway.com/s/croatia/hvar-to-split"
"1.0","https://www.bookaway.com/routes/croatia/hvar-to-split"
"0.8","https://www.bookaway.com/routes/croatia/hvar-to-split/high-speed-ferry-by-krilo"
"1.0","https://www.bookaway.com/suppliers/krilo-kapetan-luka"
"0.5","https://www.bookaway.com/s/laos/chiang-mai-to-luang-prabang"
"1.0","https://www.bookaway.com/routes/laos/chiang-mai-to-luang-prabang"
"0.8","https://www.bookaway.com/routes/laos/chiang-mai-to-luang-prabang/local-sleeping-bus-by-naga-travel-1"
"1.0","https://www.bookaway.com/suppliers/naga-travel"
"0.5","https://www.bookaway.com/s/philippines/manila-to-sagada"
"1.0","https://www.bookaway.com/routes/philippines/manila-to-sagada"
"0.8","https://www.bookaway.com/routes/philippines/manila-to-sagada/vip-bus-by-coda-lines-1"
"0.5","https://www.bookaway.com/s/philippines/sagada-to-manila"
"1.0","https://www.bookaway.com/routes/philippines/sagada-to-manila"
"0.8","https://www.bookaway.com/routes/philippines/sagada-to-manila/vip-bus-by-coda-lines-1"
"1.0","https://www.bookaway.com/suppliers/coda-lines"
"0.5","https://www.bookaway.com/s/laos/bangkok-to-vientiane"
"1.0","https://www.bookaway.com/routes/laos/bangkok-to-vientiane"
"0.8","https://www.bookaway.com/routes/laos/bangkok-to-vientiane/first-class-train-by-thai-railways"
"0.5","https://www.bookaway.com/s/thailand/vientiane-to-bangkok"
"1.0","https://www.bookaway.com/routes/thailand/vientiane-to-bangkok"
"0.8","https://www.bookaway.com/routes/thailand/vientiane-to-bangkok/first-class-train-by-thai-railways"
"1.0","https://www.bookaway.com/suppliers/naga-travel"
"0.5","https://www.bookaway.com/s/laos/bangkok-to-vientiane"
"1.0","https://www.bookaway.com/routes/laos/bangkok-to-vientiane"
"0.8","https://www.bookaway.com/routes/laos/bangkok-to-vientiane/second-class-train-by-thai-railways-5"
"0.5","https://www.bookaway.com/s/thailand/vientiane-to-bangkok"
"1.0","https://www.bookaway.com/routes/thailand/vientiane-to-bangkok"
"0.8","https://www.bookaway.com/routes/thailand/vientiane-to-bangkok/second-class-train-by-thai-railways-5"
"1.0","https://www.bookaway.com/suppliers/naga-travel"
"0.5","https://www.bookaway.com/s/vietnam/hanoi-to-cat-ba-island"
"1.0","https://www.bookaway.com/routes/vietnam/hanoi-to-cat-ba-island"
"0.8","https://www.bookaway.com/routes/vietnam/hanoi-to-cat-ba-island/economy-bus-by-cat-ba-express"
"0.5","https://www.bookaway.com/s/vietnam/cat-ba-island-to-hanoi"
"1.0","https://www.bookaway.com/routes/vietnam/cat-ba-island-to-hanoi"
"0.8","https://www.bookaway.com/routes/vietnam/cat-ba-island-to-hanoi/economy-bus-by-cat-ba-express"
"1.0","https://www.bookaway.com/suppliers/cat-ba-express"
"0.5","https://www.bookaway.com/s/myanmar/yangon-to-bagan"
"1.0","https://www.bookaway.com/routes/myanmar/yangon-to-bagan"
"0.8","https://www.bookaway.com/routes/myanmar/yangon-to-bagan/tourist-bus-by-shwe-mandalar-express"
"0.5","https://www.bookaway.com/s/myanmar/bagan-to-yangon"
"1.0","https://www.bookaway.com/routes/myanmar/bagan-to-yangon"
"0.8","https://www.bookaway.com/routes/myanmar/bagan-to-yangon/tourist-bus-by-shwe-mandalar-express"
"1.0","https://www.bookaway.com/suppliers/flymya"
"0.5","https://www.bookaway.com/s/thailand/bangkok-to-chiang-mai"
"1.0","https://www.bookaway.com/routes/thailand/bangkok-to-chiang-mai"
"0.8","https://www.bookaway.com/routes/thailand/bangkok-to-chiang-mai/tourist-bus-by-thai-sriram-4"
"0.5","https://www.bookaway.com/s/thailand/chiang-mai-to-bangkok"
"1.0","https://www.bookaway.com/routes/thailand/chiang-mai-to-bangkok"
"0.8","https://www.bookaway.com/routes/thailand/chiang-mai-to-bangkok/tourist-bus-by-thai-sriram-4"
"1.0","https://www.bookaway.com/suppliers/thai-sriram"
"0.5","https://www.bookaway.com/s/thailand/bangkok-to-koh-samui"
"1.0","https://www.bookaway.com/routes/thailand/bangkok-to-koh-samui"
"0.8","https://www.bookaway.com/routes/thailand/bangkok-to-koh-samui/tourist-bus-ferry-by-naga-travel-1"
"0.5","https://www.bookaway.com/s/thailand/koh-samui-to-bangkok"
"1.0","https://www.bookaway.com/routes/thailand/koh-samui-to-bangkok"
"0.8","https://www.bookaway.com/routes/thailand/koh-samui-to-bangkok/tourist-bus-ferry-by-naga-travel-1"
"1.0","https://www.bookaway.com/suppliers/naga-travel"
"0.5","https://www.bookaway.com/s/cambodia/ho-chi-minh-saigon-to-phnom-penh"
"1.0","https://www.bookaway.com/routes/cambodia/ho-chi-minh-saigon-to-phnom-penh"
"0.8","https://www.bookaway.com/routes/cambodia/ho-chi-minh-saigon-to-phnom-penh/tourist-bus-by-vietnam-transports-4"
"0.5","https://www.bookaway.com/s/vietnam/phnom-penh-to-ho-chi-minh-saigon"
"1.0","https://www.bookaway.com/routes/vietnam/phnom-penh-to-ho-chi-minh-saigon"
"0.8","https://www.bookaway.com/routes/vietnam/phnom-penh-to-ho-chi-minh-saigon/tourist-bus-by-vietnam-transports-4"
"1.0","https://www.bookaway.com/suppliers/vietnam-transports"
"0.5","https://www.bookaway.com/s/thailand/bangkok-to-pattaya"
"1.0","https://www.bookaway.com/routes/thailand/bangkok-to-pattaya"
"0.8","https://www.bookaway.com/routes/thailand/bangkok-to-pattaya/standard-bus-by-bell-travel-services"
"0.5","https://www.bookaway.com/s/thailand/pattaya-to-bangkok"
"1.0","https://www.bookaway.com/routes/thailand/pattaya-to-bangkok"
"0.8","https://www.bookaway.com/routes/thailand/pattaya-to-bangkok/standard-bus-by-bell-travel-services"
"1.0","https://www.bookaway.com/suppliers/bell-travel-services"
"0.5","https://www.bookaway.com/s/thailand/pattaya-to-hua-hin"
"1.0","https://www.bookaway.com/routes/thailand/pattaya-to-hua-hin"
"0.8","https://www.bookaway.com/routes/thailand/pattaya-to-hua-hin/tourist-bus-by-roong-reuang-coach"
"0.5","https://www.bookaway.com/s/thailand/hua-hin-to-pattaya"
"1.0","https://www.bookaway.com/routes/thailand/hua-hin-to-pattaya"
"0.8","https://www.bookaway.com/routes/thailand/hua-hin-to-pattaya/tourist-bus-by-roong-reuang-coach"
"1.0","https://www.bookaway.com/suppliers/bell-travel-services"
"0.5","https://www.bookaway.com/s/cambodia/bangkok-to-phnom-penh"
"1.0","https://www.bookaway.com/routes/cambodia/bangkok-to-phnom-penh"
"0.8","https://www.bookaway.com/routes/cambodia/bangkok-to-phnom-penh/tourist-bus-by-naga-travel-3"
"0.5","https://www.bookaway.com/s/thailand/phnom-penh-to-bangkok"
"1.0","https://www.bookaway.com/routes/thailand/phnom-penh-to-bangkok"
"0.8","https://www.bookaway.com/routes/thailand/phnom-penh-to-bangkok/tourist-bus-by-naga-travel-3"
"1.0","https://www.bookaway.com/suppliers/naga-travel"
"0.5","https://www.bookaway.com/s/thailand/bangkok-to-phuket"
"1.0","https://www.bookaway.com/routes/thailand/bangkok-to-phuket"
"0.8","https://www.bookaway.com/routes/thailand/bangkok-to-phuket/tourist-bus-by-naga-travel-1"
"0.5","https://www.bookaway.com/s/thailand/phuket-to-bangkok"
"1.0","https://www.bookaway.com/routes/thailand/phuket-to-bangkok"
"0.8","https://www.bookaway.com/routes/thailand/phuket-to-bangkok/tourist-bus-by-naga-travel-1"
"1.0","https://www.bookaway.com/suppliers/naga-travel"
"0.5","https://www.bookaway.com/s/thailand/bangkok-to-krabi"
"1.0","https://www.bookaway.com/routes/thailand/bangkok-to-krabi"
"0.8","https://www.bookaway.com/routes/thailand/bangkok-to-krabi/vip-bus-by-lignite-tour"
"0.5","https://www.bookaway.com/s/thailand/krabi-to-bangkok"
"1.0","https://www.bookaway.com/routes/thailand/krabi-to-bangkok"
"0.8","https://www.bookaway.com/routes/thailand/krabi-to-bangkok/vip-bus-by-lignite-tour"
"1.0","https://www.bookaway.com/suppliers/lignite-tour"
"0.5","https://www.bookaway.com/s/laos/vientiane-to-pakse"
"1.0","https://www.bookaway.com/routes/laos/vientiane-to-pakse"
"0.8","https://www.bookaway.com/routes/laos/vientiane-to-pakse/local-sleeping-bus-by-naga-travel"
"0.5","https://www.bookaway.com/s/laos/pakse-to-vientiane"
"1.0","https://www.bookaway.com/routes/laos/pakse-to-vientiane"
"0.8","https://www.bookaway.com/routes/laos/pakse-to-vientiane/local-sleeping-bus-by-naga-travel"
"1.0","https://www.bookaway.com/suppliers/naga-travel"
"0.5","https://www.bookaway.com/s/cambodia/ho-chi-minh-saigon-to-phnom-penh"
"1.0","https://www.bookaway.com/routes/cambodia/ho-chi-minh-saigon-to-phnom-penh"
"0.8","https://www.bookaway.com/routes/cambodia/ho-chi-minh-saigon-to-phnom-penh/luxury-minivan-by-vietnam-transports"
"0.5","https://www.bookaway.com/s/vietnam/phnom-penh-to-ho-chi-minh-saigon"
"1.0","https://www.bookaway.com/routes/vietnam/phnom-penh-to-ho-chi-minh-saigon"
"0.8","https://www.bookaway.com/routes/vietnam/phnom-penh-to-ho-chi-minh-saigon/luxury-minivan-by-vietnam-transports"
"1.0","https://www.bookaway.com/suppliers/vietnam-transports"
"0.5","https://www.bookaway.com/s/thailand/bangkok-to-pattaya"
