"productNo","kohRouteId","ref","productName","time","arrivalTime","hourReserve","duration","map","photo","priceAdult","priceChild","sellingPriceAdult","sellingPriceChild","provinceId","province","provinceToId","provinceTo","areaId","area","areaToId","areaTo","destinationId","destination","destinationToId","destinationTo"
"B3","67","CPN0001","Chumphon Pier 07:00 - Koh Tao 09:45","07:00","09:45",1,"2:45 hrs.","10.445133,99.24880600000006","https://img.adv-tour.com/photo/boat/693374.jpg",400,300,500,400,3,"Chumphon",11,"Suratthani",71,"Pier",51,"Koh Tao",9,"Matthaphon",99,"Mae Haad Pier"
"B41","92","CPN0003","Chumphon Pier 07:00 - Koh Samui 13:15","07:00","13:15",3,"6:15 hrs.","10.445133,99.24880600000006","",750,600,900,700,3,"Chumphon",11,"Suratthani",71,"Pier",50,"Koh Samui",9,"Matthaphon",87,"Nathon Pier"
"B42","713","USM0006","Koh Samui 11:30 - Chumphon Pier 18:00","11:30","18:00",3,"6:30 hrs.","9.5355552,99.93455449999999","",800,600,900,700,11,"Suratthani",3,"Chumphon",50,"Koh Samui",71,"Pier",87,"Nathon Pier",9,"Matthaphon"
"B43","91","PNG0006","Koh Phangan 12:45 - Chumphon Pier 18:00","12:45","18:00",3,"5:15 hrs.","9.7109619,99.98247990000004","",650,500,800,600,11,"Suratthani",3,"Chumphon",49,"Koh Phangan",71,"Pier",68,"Thongsala Pier",9,"Matthaphon"
