"path","id","pureUrl","checkRoute"
"/travel/bangkok/koh-kood",2,"bangkok-koh-kood","create route bangkok-koh-kood"
"/travel/krabi/khao-sok",31,"krabi-khao-sok","create route krabi-khao-sok"
"/travel/ao-nang-krabi/phuket",5250,"ao-nang-krabi-phuket","create route ao-nang-krabi-phuket"
"/travel/krabi/phuket",45,"krabi-phuket","create route krabi-phuket"
"/travel/krabi/suratthani",50,"krabi-suratthani","create route krabi-suratthani"
"/travel/koh-yao-yai/phuket",5251,"koh-yao-yai-phuket","create route koh-yao-yai-phuket"
"/travel/chumporn/koh-tao",67,"chumporn-koh-tao","create route chumporn-koh-tao"
"/travel/koh-yao-yai/ao-nang-krabi",5252,"koh-yao-yai-ao-nang-krabi","create route koh-yao-yai-ao-nang-krabi"
"/travel/hua-hin/koh-phangan",80,"hua-hin-koh-phangan","create route hua-hin-koh-phangan"
"/travel/suratthani/koh-tao",77,"suratthani-koh-tao","create route suratthani-koh-tao"
"/travel/phuket/koh-yao-yai",5253,"phuket-koh-yao-yai","create route phuket-koh-yao-yai"
"/travel/bangkok/hua-hin",5320,"bangkok-hua-hin","create route bangkok-hua-hin"
"/travel/koh-phangan/koh-phi-phi",108,"koh-phangan-koh-phi-phi","create route koh-phangan-koh-phi-phi"
"/travel/koh-phangan/nakhon-sri-thammarat",126,"koh-phangan-nakhon-sri-thammarat","create route koh-phangan-nakhon-sri-thammarat"
"/travel/koh-phi-phi/suratthani",792,"koh-phi-phi-suratthani","create route koh-phi-phi-suratthani"
"/travel/suratthani/donsak",803,"suratthani-donsak","create route suratthani-donsak"
"/travel/koh-lanta/krabi",5312,"koh-lanta-krabi","create route koh-lanta-krabi"
"/travel/koh-tao/chumporn",219,"koh-tao-chumporn","create route koh-tao-chumporn"
"/travel/chiangmai/koh-chang",5327,"chiangmai-koh-chang","create route chiangmai-koh-chang"
"/travel/koh-tao/hat-yai",222,"koh-tao-hat-yai","create route koh-tao-hat-yai"
"/travel/koh-chang/chiangmai",5328,"koh-chang-chiangmai","create route koh-chang-chiangmai"
"/travel/koh-chang/koh-samui",5329,"koh-chang-koh-samui","create route koh-chang-koh-samui"
"/travel/koh-samui/chumporn",713,"koh-samui-chumporn","create route koh-samui-chumporn"
"/travel/nakhon-sri-thammarat/koh-phangan",265,"nakhon-sri-thammarat-koh-phangan","create route nakhon-sri-thammarat-koh-phangan"
"/travel/koh-tao/nakhon-sri-thammarat",243,"koh-tao-nakhon-sri-thammarat","create route koh-tao-nakhon-sri-thammarat"
"/travel/nakhon-sri-thammarat/koh-samui",270,"nakhon-sri-thammarat-koh-samui","create route nakhon-sri-thammarat-koh-samui"
"/travel/nakhon-sri-thammarat/koh-tao",273,"nakhon-sri-thammarat-koh-tao","create route nakhon-sri-thammarat-koh-tao"
"/travel/ao-nang-krabi/koh-lanta",3841,"ao-nang-krabi-koh-lanta","create route ao-nang-krabi-koh-lanta"
"/travel/koh-samui/hua-hin",866,"koh-samui-hua-hin","create route koh-samui-hua-hin"
"/travel/koh-lanta/koh-phi-phi",340,"koh-lanta-koh-phi-phi","create route koh-lanta-koh-phi-phi"
"/travel/koh-samui/koh-chang",5330,"koh-samui-koh-chang","create route koh-samui-koh-chang"
"/travel/krabi/koh-phi-phi",351,"krabi-koh-phi-phi","create route krabi-koh-phi-phi"
"/travel/koh-lanta/ao-nang-krabi",3859,"koh-lanta-ao-nang-krabi","create route koh-lanta-ao-nang-krabi"
"/travel/koh-phi-phi/krabi",345,"koh-phi-phi-krabi","create route koh-phi-phi-krabi"
"/travel/donsak/suratthani",808,"donsak-suratthani","create route donsak-suratthani"
"/travel/koh-samui/railay",770,"koh-samui-railay","create route koh-samui-railay"
"/travel/krabi/koh-phangan",781,"krabi-koh-phangan","create route krabi-koh-phangan"
"/travel/railay/koh-samui",780,"railay-koh-samui","create route railay-koh-samui"
"/travel/chiangmai/bangkok",839,"chiangmai-bangkok","create route chiangmai-bangkok"
"/travel/koh-samui/hat-yai",830,"koh-samui-hat-yai","create route koh-samui-hat-yai"
"/travel/bangkok/siemreap",5348,"bangkok-siemreap","create route bangkok-siemreap"
"/travel/koh-samui/koh-phi-phi",725,"koh-samui-koh-phi-phi","create route koh-samui-koh-phi-phi"
"/travel/krabi/koh-tao",752,"krabi-koh-tao","create route krabi-koh-tao"
"/travel/koh-phi-phi/koh-phangan",561,"koh-phi-phi-koh-phangan","create route koh-phi-phi-koh-phangan"
"/travel/suratthani/krabi",762,"suratthani-krabi","create route suratthani-krabi"
"/travel/hua-hin/koh-tao",84,"hua-hin-koh-tao","create route hua-hin-koh-tao"
"/travel/koh-phangan/krabi",122,"koh-phangan-krabi","create route koh-phangan-krabi"
"/travel/koh-tao/hua-hin",225,"koh-tao-hua-hin","create route koh-tao-hua-hin"
"/travel/koh-lipe/koh-kradan",2536,"koh-lipe-koh-kradan","create route koh-lipe-koh-kradan"
"/travel/krabi/khao-lak",30,"krabi-khao-lak","create route krabi-khao-lak"
"/travel/koh-phi-phi/koh-lanta",342,"koh-phi-phi-koh-lanta","create route koh-phi-phi-koh-lanta"
"/travel/bangkok/railay",677,"bangkok-railay","create route bangkok-railay"
"/travel/phuket/trang",2793,"phuket-trang","create route phuket-trang"
"/travel/koh-phangan/railay",705,"koh-phangan-railay","create route koh-phangan-railay"
"/travel/phuket/suratthani",912,"phuket-suratthani","create route phuket-suratthani"
"/travel/bangkok/phnom-penh",648,"bangkok-phnom-penh","create route bangkok-phnom-penh"
"/travel/siemreap/bangkok",834,"siemreap-bangkok","create route siemreap-bangkok"
"/travel/bangkok/battambang",645,"bangkok-battambang","create route bangkok-battambang"
"/travel/bangkok/koh-tao",61,"bangkok-koh-tao","create route bangkok-koh-tao"
"/travel/koh-lanta/phuket",23,"koh-lanta-phuket","create route koh-lanta-phuket"
